method_id,paper_source,implementation_level,provider_level,systems_used,case_count,completed_count,blocked_count,baseline_length_error,residual_rms,wrapped_residual_rms,ratio,ADOP,fix_status_or_fix_rate_proxy,body_yaw_allowed,paper_use_classification,claim_boundary
G01_TEUNISSEN_STANDARD_LAMBDA_FLOAT_FIXED,PAPER3G,PYTHON_LAMBDA_APPROX_NATIVE_VALIDATION,DD_PROVIDER_V2_multignss_native_metrics,GPS+BDS where provider rows available,120,120,0,5.551115123125783e-17,0.0099990179653322,,,,0.123923127899271,False,appendix_or_main_supporting_evidence,native backend metrics only; no body-yaw claim; no exact/full reproduction claim
G02_TEUNISSEN_CLAMBDA_QCILS_BACKEND,PAPER3G,CLAMBDA_QCILS_PROXY_NATIVE_VALIDATION,DD_PROVIDER_V2_multignss_native_metrics,GPS+BDS where provider rows available,120,120,0,5.551115123125783e-17,0.0099990179653322,,,,0.123923127899271,False,appendix_or_main_supporting_evidence,native backend metrics only; no body-yaw claim; no exact/full reproduction claim
G03_LIU_CWLS_FULLER_WRAPPED_SEARCH,PAPER3G,CWLS_WRAPPED_SEARCH_NATIVE_VALIDATION,DD_PROVIDER_V2_multignss_native_metrics,GPS+BDS where provider rows available,120,120,0,5.551115123125783e-17,0.0099990179653322,,,,0.123923127899271,False,appendix_or_main_supporting_evidence,native backend metrics only; no body-yaw claim; no exact/full reproduction claim
G04_YANG_LENGTH_CONSTRAINED_KF_MLAMBDA,PAPER3G,MLAMBDA_STYLE_KF_PROXY_NATIVE_VALIDATION,DD_PROVIDER_V2_multignss_native_metrics,GPS+BDS where provider rows available,120,120,0,5.551115123125783e-17,0.0099990179653322,,,,0.123923127899271,False,appendix_or_main_supporting_evidence,native backend metrics only; no body-yaw claim; no exact/full reproduction claim
G05_WU_PAR_ADOP_CONSTRAINED_AMBIGUITY_MODULE,PAPER3G,PAR_ADOP_AMBIGUITY_MODULE_NATIVE_VALIDATION,DD_PROVIDER_V2_multignss_native_metrics,GPS+BDS where provider rows available,120,120,0,5.551115123125783e-17,0.0099990179653322,,,,0.123923127899271,False,appendix_or_main_supporting_evidence,native backend metrics only; no body-yaw claim; no exact/full reproduction claim
G06_PAVLASEK_TWO_RECEIVER_IEKF_MEASUREMENT_READY,PAPER3G,IEKF_MEASUREMENT_READY_PROPAGATION_BLOCKED,DD_PROVIDER_V2_multignss_native_metrics,GPS+BDS where provider rows available,120,120,0,5.551115123125783e-17,0.0099990179653322,,,,0.0,False,appendix_or_main_supporting_evidence,native backend metrics only; no body-yaw claim; no exact/full reproduction claim
H01_TEUNISSEN_STANDARD_LAMBDA_HELPER,PAPER3H,RTKLIB_STANDARD_LAMBDA_HELPER_MATRIX_SUBSET,DD_PROVIDER_V3_GPS_BDS_LOS_COVARIANCE_READY,GPS+BDS LOS/covariance-ready subset,120,120,0,,0.0099990179653322,,1.896551565655,,0.123923127899271,False,appendix_or_main_supporting_evidence,native backend metrics only; no body-yaw claim; no exact/full reproduction claim
H02_TEUNISSEN_CLAMBDA_SEARCH_SHRINK,PAPER3H,CLAMBDA_SEARCH_SHRINK_PROXY_NOT_EXACT,DD_PROVIDER_V3_GPS_BDS_LOS_COVARIANCE_READY,GPS+BDS LOS/covariance-ready subset,120,120,0,,0.0099990179653322,,1.094661602496939,,0.123923127899271,False,appendix_or_main_supporting_evidence,native backend metrics only; no body-yaw claim; no exact/full reproduction claim
H03_LIU_CWLS_REFINED_SEARCH,PAPER3H,CWLS_COARSE_TO_FINE_REFINED_NATIVE,DD_PROVIDER_V3_GPS_BDS_LOS_COVARIANCE_READY,GPS+BDS LOS/covariance-ready subset,120,120,0,,0.0099990179653322,,49.98549831743752,,0.123923127899271,False,appendix_or_main_supporting_evidence,native backend metrics only; no body-yaw claim; no exact/full reproduction claim
H04_YANG_KF_MLAMBDA_FULLER,PAPER3H,KF_LENGTH_CONSTRAINT_LAMBDA_HELPER_SUBSET,DD_PROVIDER_V3_GPS_BDS_LOS_COVARIANCE_READY,GPS+BDS LOS/covariance-ready subset,120,120,0,,0.0099990179653322,,1.896551565655,,0.123923127899271,False,appendix_or_main_supporting_evidence,native backend metrics only; no body-yaw claim; no exact/full reproduction claim
H05_WU_PAR_ADOP_EQKF_MODULE,PAPER3H,EQKF_NATIVE_MODULE_FRAME_NOT_CLOSED,DD_PROVIDER_V3_GPS_BDS_LOS_COVARIANCE_READY,GPS+BDS LOS/covariance-ready subset,120,120,0,,0.0099990179653322,,49.98549831743752,,0.123923127899271,False,appendix_or_main_supporting_evidence,native backend metrics only; no body-yaw claim; no exact/full reproduction claim
H06_PAVLASEK_FULL_IEKF_ATTEMPT,PAPER3H,FULL_IEKF_BLOCKED_MEASUREMENT_BACKEND_ONLY,DD_PROVIDER_V3_GPS_BDS_LOS_COVARIANCE_READY,GPS+BDS LOS/covariance-ready subset,120,0,120,,0.0099990179653322,,,,0.0,False,appendix_or_main_supporting_evidence,native backend metrics only; no body-yaw claim; no exact/full reproduction claim
P3F_DD06_RTKLIB_MOVING_BASELINE_EXTERNAL_DIAGNOSTIC,PAPER3F/PAPER4F_R2,RTKLIB moving-base external diagnostic,external_rtk_diagnostic_from_existing_epoch_outputs,as provided by RTKLIB diagnostic output,120,120,0,,,,,,,False,diagnostic_native_external_baseline_only,external RTKLIB diagnostic; not exact Teunissen/Yang/Liu/Wu reproduction; no body-yaw claim
PAPER3I_PROVIDER_V4_GPS_BDS_LOS_READY_RESIDUAL_PARTIAL,PAPER3I,provider_v4_residual_metadata_improvement,DD_PROVIDER_V4_GPS_BDS_LOS_READY_RESIDUAL_PARTIAL,GPS rows=13995; BDS rows=7382; Galileo/GLONASS/SBAS not closed,,21932,,,,,,,,False,main_supporting_provider_evidence,provider residual metadata only; no body-yaw or superiority claim
PAVLASEK_IEKF_PAVLASEK_NATIVE_DIAGNOSTIC_WITH_PROVISIONAL_EXTRINSIC,PAPER3I,DIAGNOSTIC_READY,native diagnostic / blocked strict physical extrinsic path,GPS+BDS provider v4 rows where diagnostic-ready,,1000,0,,0.3725000005215406,,,,DIAGNOSTIC_READY,False,diagnostic_only_or_blocked,Pavlasek IEKF full claim blocked; native diagnostic only
PAVLASEK_IEKF_PAVLASEK_BLOCKED_STRICT_PHYSICAL_EXTRINSIC_REQUIRED,PAPER3I,BLOCKED_WITH_PROOF,native diagnostic / blocked strict physical extrinsic path,GPS+BDS provider v4 rows where diagnostic-ready,,0,,,,,,,BLOCKED_WITH_PROOF,False,diagnostic_only_or_blocked,Pavlasek IEKF full claim blocked; native diagnostic only
WU_EQKF_MISALIGNMENT_NATIVE_DIAGNOSTIC,PAPER3I,native diagnostic summary,provider_v4_residual_rows,C; G; J,,22433,,,0.6905495136463113,,,,,False,diagnostic_only,Wu misalignment/body-yaw claim disabled; native residual diagnostic only
